epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,192.004,0.72576,0.83715,1.37424,0.93609,0.95674,0.97521,0.9212,0.4147,0.61691,0.65049,0.000494885,0.000494885,0.000494885
43,196.447,0.74939,0.83604,1.38054,0.95944,0.86677,0.97505,0.9351,0.39839,0.6049,0.57752,0.000486639,0.000486639,0.000486639
44,200.829,0.70239,0.79037,1.34168,0.95574,0.93939,0.98025,0.93568,0.38818,0.45516,0.58479,0.000478392,0.000478392,0.000478392
45,205.114,0.68169,0.79872,1.32452,0.95398,0.90962,0.9726,0.96478,0.30903,0.49835,0.48198,0.000470145,0.000470145,0.000470145
46,209.745,0.67406,0.77976,1.31742,0.92367,0.79906,0.93871,0.92217,0.30608,0.82498,0.51188,0.000461898,0.000461898,0.000461898
47,214.029,0.68028,0.80729,1.33315,0.91179,0.94274,0.95638,0.93754,0.35713,0.57455,0.5408,0.000453652,0.000453652,0.000453652
48,218.416,0.68478,0.79068,1.31409,0.97641,0.88468,0.96998,0.92479,0.42662,0.57008,0.6361,0.000445405,0.000445405,0.000445405
49,222.711,0.70023,0.80408,1.34633,0.95613,0.91841,0.96759,0.8803,0.47706,0.57516,0.76025,0.000437158,0.000437158,0.000437158
50,227.087,0.6508,0.76336,1.31307,0.96105,0.95642,0.97658,0.96922,0.3419,0.46933,0.55036,0.000428912,0.000428912,0.000428912
51,231.566,0.69573,0.74441,1.34459,0.98375,0.93314,0.97925,0.95936,0.33987,0.42623,0.52924,0.000420665,0.000420665,0.000420665
52,235.91,0.66966,0.75381,1.31204,0.93506,0.9367,0.97783,0.95952,0.36836,0.52239,0.56675,0.000412418,0.000412418,0.000412418
53,240.282,0.65996,0.74572,1.30476,0.92372,0.95412,0.9747,0.95961,0.34048,0.47435,0.52572,0.000404172,0.000404172,0.000404172
54,244.656,0.65081,0.72968,1.29096,0.97479,0.91193,0.97658,0.96656,0.31403,0.5465,0.47199,0.000395925,0.000395925,0.000395925
55,249.02,0.64112,0.71108,1.29905,0.93772,0.97176,0.98029,0.96034,0.3476,0.47485,0.52551,0.000387678,0.000387678,0.000387678
56,253.34,0.63042,0.74097,1.28263,0.92798,0.92716,0.96199,0.94447,0.35187,0.53086,0.50513,0.000379431,0.000379431,0.000379431
57,257.678,0.63692,0.7061,1.28076,0.95628,0.91548,0.97681,0.93348,0.37256,0.45738,0.54655,0.000371185,0.000371185,0.000371185
58,262.024,0.63835,0.7121,1.29759,0.96622,0.92023,0.97931,0.95205,0.35299,0.47826,0.5161,0.000362938,0.000362938,0.000362938
59,266.783,0.62443,0.70122,1.27905,0.95187,0.93428,0.97071,0.94311,0.41034,0.4835,0.57948,0.000354691,0.000354691,0.000354691
60,271.348,0.6188,0.7087,1.28097,0.93284,0.92714,0.97621,0.96298,0.36015,0.49205,0.52901,0.000346445,0.000346445,0.000346445
61,275.93,0.61853,0.6914,1.28319,0.97968,0.90528,0.98266,0.91136,0.45303,0.44873,0.64355,0.000338198,0.000338198,0.000338198
62,280.348,0.61225,0.67526,1.27087,0.9716,0.9669,0.98467,0.95805,0.33524,0.3934,0.50086,0.000329951,0.000329951,0.000329951
63,284.688,0.60795,0.68742,1.27254,0.97946,0.93478,0.97961,0.9417,0.38254,0.44464,0.55562,0.000321705,0.000321705,0.000321705
64,289.049,0.58979,0.69362,1.25907,0.95526,0.93258,0.97352,0.92143,0.42089,0.49097,0.60971,0.000313458,0.000313458,0.000313458
65,293.334,0.58864,0.66583,1.25881,0.95586,0.93293,0.97995,0.96976,0.34014,0.49136,0.52813,0.000305211,0.000305211,0.000305211
66,297.715,0.58196,0.65958,1.24196,0.98306,0.9298,0.97024,0.96243,0.31732,0.48411,0.48647,0.000296964,0.000296964,0.000296964
67,302.525,0.5676,0.6411,1.2362,0.96201,0.9254,0.97441,0.94155,0.36752,0.4943,0.53718,0.000288718,0.000288718,0.000288718
68,307.074,0.60301,0.65832,1.25616,0.95421,0.95939,0.97735,0.95182,0.3467,0.46733,0.52497,0.000280471,0.000280471,0.000280471
69,311.384,0.58008,0.66212,1.23632,0.94017,0.9362,0.98009,0.94951,0.37393,0.4519,0.56419,0.000272224,0.000272224,0.000272224
70,315.729,0.54256,0.60443,1.20625,0.95664,0.94645,0.98085,0.95655,0.37434,0.46366,0.56609,0.000263978,0.000263978,0.000263978
71,320.119,0.58754,0.66635,1.25526,0.95879,0.9379,0.9788,0.95912,0.36257,0.45174,0.55043,0.000255731,0.000255731,0.000255731
72,324.436,0.55214,0.63593,1.21028,0.9829,0.92269,0.98334,0.94335,0.4128,0.48443,0.59473,0.000247484,0.000247484,0.000247484
73,328.808,0.58242,0.65041,1.24447,0.98915,0.90897,0.97417,0.94587,0.38246,0.46677,0.54333,0.000239238,0.000239238,0.000239238
74,333.12,0.56106,0.64527,1.23266,0.94715,0.9499,0.97969,0.96655,0.34429,0.44657,0.49802,0.000230991,0.000230991,0.000230991
75,337.457,0.56585,0.61343,1.23093,0.96186,0.94222,0.97876,0.97045,0.31975,0.41598,0.47134,0.000222744,0.000222744,0.000222744
76,341.816,0.55541,0.61965,1.23232,0.96963,0.94401,0.98071,0.95084,0.38845,0.43774,0.57216,0.000214497,0.000214497,0.000214497
77,346.169,0.55349,0.62033,1.228,0.97866,0.92649,0.98049,0.9608,0.35578,0.4621,0.51357,0.000206251,0.000206251,0.000206251
78,350.424,0.55049,0.63435,1.22416,0.97379,0.94564,0.97884,0.96244,0.36674,0.45886,0.52439,0.000198004,0.000198004,0.000198004
79,354.786,0.55046,0.61384,1.2268,0.98048,0.95194,0.97881,0.96785,0.32631,0.46498,0.4705,0.000189757,0.000189757,0.000189757
80,359.082,0.53643,0.63022,1.21208,0.98388,0.94628,0.98179,0.94654,0.38197,0.46212,0.53096,0.000181511,0.000181511,0.000181511
