epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.5851,0.83523,2.65485,1.46994,0.65305,0.55892,0.64811,0.55075,0.51359,1.70883,0.94336,0.000276686,0.000276686,0.000276686
2,58.3723,0.63273,1.72507,1.29055,0.65704,0.77129,0.82139,0.6878,0.51913,1.24233,0.88498,0.000543376,0.000543376,0.000543376
3,81.0497,0.58129,1.52086,1.25622,0.72802,0.81093,0.85868,0.74368,0.41797,1.19157,0.71235,0.000799071,0.000799071,0.000799071
4,103.507,0.52046,1.29694,1.19401,0.8931,0.83963,0.92547,0.84299,0.4134,0.85536,0.69707,0.00078352,0.00078352,0.00078352
5,127.053,0.49378,1.1685,1.16762,0.86248,0.85552,0.93172,0.85184,0.42282,0.80087,0.76907,0.000767026,0.000767026,0.000767026
6,152.176,0.44728,1.08082,1.13526,0.86756,0.84375,0.9268,0.7837,0.51624,0.8047,0.82405,0.000750533,0.000750533,0.000750533
7,177.384,0.41871,0.9959,1.11674,0.87331,0.87089,0.92997,0.81847,0.43399,0.80248,0.73394,0.00073404,0.00073404,0.00073404
8,202.416,0.40261,0.94257,1.09682,0.91637,0.90352,0.96862,0.93482,0.32029,0.59881,0.59921,0.000717546,0.000717546,0.000717546
9,227.355,0.391,0.88435,1.08726,0.91821,0.92457,0.9694,0.94125,0.27528,0.5213,0.54831,0.000701053,0.000701053,0.000701053
10,253.356,0.37892,0.86511,1.08745,0.95,0.91159,0.97365,0.92352,0.37764,0.55645,0.67215,0.000684559,0.000684559,0.000684559
11,278.353,0.37818,0.80551,1.0799,0.92962,0.91869,0.9673,0.90607,0.32446,0.58183,0.62932,0.000668066,0.000668066,0.000668066
12,303.118,0.35635,0.79286,1.06746,0.93365,0.90425,0.97146,0.93364,0.30577,0.55195,0.59815,0.000651573,0.000651573,0.000651573
13,328.047,0.34426,0.76307,1.05742,0.89424,0.90486,0.97329,0.9268,0.34798,0.59736,0.64418,0.000635079,0.000635079,0.000635079
14,353.357,0.33466,0.74381,1.05122,0.94186,0.92472,0.97802,0.95969,0.29853,0.49185,0.56982,0.000618586,0.000618586,0.000618586
15,380.827,0.32364,0.70487,1.03838,0.95598,0.93443,0.97918,0.96718,0.25317,0.41545,0.51926,0.000602092,0.000602092,0.000602092
16,404.004,0.32082,0.7089,1.03968,0.95151,0.93031,0.97865,0.9604,0.29191,0.453,0.56759,0.000585599,0.000585599,0.000585599
17,429.13,0.30689,0.66606,1.03396,0.97237,0.92887,0.98196,0.94925,0.34003,0.44853,0.61753,0.000569106,0.000569106,0.000569106
18,455.444,0.30627,0.66239,1.03754,0.92685,0.92674,0.96631,0.9485,0.25537,0.52891,0.53674,0.000552612,0.000552612,0.000552612
19,480.269,0.28574,0.63021,1.01798,0.96375,0.94668,0.98594,0.96354,0.28459,0.42847,0.553,0.000536119,0.000536119,0.000536119
20,506.953,0.28515,0.6099,1.02261,0.94907,0.9467,0.97986,0.97091,0.2686,0.39875,0.54399,0.000519625,0.000519625,0.000519625
21,532.108,0.28107,0.60553,1.02133,0.96705,0.95087,0.9807,0.96253,0.24902,0.43066,0.51264,0.000503132,0.000503132,0.000503132
22,557.339,0.26634,0.57715,1.00224,0.97153,0.94385,0.98336,0.98001,0.2396,0.40916,0.501,0.000486639,0.000486639,0.000486639
23,582.74,0.27415,0.57703,1.00885,0.96621,0.95028,0.97825,0.96501,0.2796,0.43043,0.5443,0.000470145,0.000470145,0.000470145
24,608.429,0.27003,0.57659,1.0069,0.97888,0.93857,0.98631,0.96616,0.28033,0.39777,0.54123,0.000453652,0.000453652,0.000453652
25,634.947,0.25453,0.55675,1.00113,0.96611,0.94759,0.98358,0.97563,0.2623,0.41157,0.52026,0.000437158,0.000437158,0.000437158
26,660.562,0.24747,0.53838,0.99281,0.96985,0.94823,0.98399,0.97859,0.24954,0.38553,0.50184,0.000420665,0.000420665,0.000420665
27,685.171,0.24687,0.5177,0.98732,0.96965,0.942,0.98629,0.97915,0.23631,0.39271,0.49966,0.000404172,0.000404172,0.000404172
28,709.714,0.24538,0.51616,0.99076,0.95194,0.95515,0.98595,0.97166,0.30666,0.42552,0.57088,0.000387678,0.000387678,0.000387678
29,734.183,0.23846,0.51071,0.98934,0.96606,0.96285,0.98509,0.97468,0.25689,0.38437,0.52103,0.000371185,0.000371185,0.000371185
30,758.704,0.24578,0.49357,0.99276,0.96422,0.96143,0.98343,0.97837,0.2326,0.39187,0.50545,0.000354691,0.000354691,0.000354691
31,783.484,0.22283,0.47033,0.9776,0.9492,0.96463,0.98225,0.97686,0.21902,0.38571,0.4876,0.000338198,0.000338198,0.000338198
32,808.075,0.22243,0.4712,0.97632,0.98107,0.94368,0.9841,0.9773,0.22518,0.37848,0.4805,0.000321705,0.000321705,0.000321705
33,832.983,0.21586,0.47415,0.97187,0.96524,0.97176,0.98588,0.98275,0.20407,0.35358,0.47065,0.000305211,0.000305211,0.000305211
34,857.893,0.21295,0.44812,0.97121,0.96142,0.97167,0.98791,0.985,0.23424,0.37296,0.50163,0.000288718,0.000288718,0.000288718
