epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.4039,1.7593,3.65491,2.28083,0.00347,1,0.22532,0.14539,0.77985,3.13576,1.44728,0.0002695,0.0002695,0.0002695
2,22.9865,1.23247,2.83387,1.8321,0.58275,0.36798,0.50886,0.34045,1.06127,2.22343,1.6248,0.00054175,0.00054175,0.00054175
3,33.5047,1.19265,2.33024,1.80755,0.42454,0.43034,0.25122,0.08158,2.09791,4.34898,2.44647,0.000808502,0.000808502,0.000808502
4,43.8334,1.13947,2.10088,1.74782,0.60821,0.59367,0.626,0.39826,1.15268,2.57631,1.3266,0.00080826,0.00080826,0.00080826
5,53.9926,1.14581,1.94926,1.73737,0.69585,0.6705,0.79724,0.54588,0.93597,1.93932,1.11362,0.000800013,0.000800013,0.000800013
6,63.4521,1.06397,1.77872,1.6507,0.57883,0.69202,0.66084,0.44104,0.95239,1.75555,1.14663,0.000791767,0.000791767,0.000791767
7,72.6638,1.04413,1.70049,1.63826,0.7719,0.70796,0.85217,0.78617,0.39556,1.59568,0.65586,0.00078352,0.00078352,0.00078352
8,82.0969,1.06599,1.70049,1.66422,0.77904,0.74144,0.85405,0.71383,0.63192,1.11518,0.93508,0.000775273,0.000775273,0.000775273
9,91.3199,1.00764,1.56803,1.6032,0.77663,0.83512,0.84859,0.66984,0.60766,1.36177,0.88989,0.000767026,0.000767026,0.000767026
10,101.318,1.01802,1.54276,1.60147,0.83606,0.77906,0.91878,0.83629,0.44733,1.06867,0.72654,0.00075878,0.00075878,0.00075878
11,110.798,0.96036,1.47128,1.57995,0.76721,0.85218,0.93443,0.87466,0.38052,0.84922,0.56608,0.000750533,0.000750533,0.000750533
12,120.158,1.00558,1.42718,1.60235,0.76351,0.83041,0.87705,0.86099,0.33482,1.12462,0.5238,0.000742286,0.000742286,0.000742286
13,129.688,0.94777,1.40383,1.54877,0.88405,0.81211,0.94145,0.90958,0.30593,0.93426,0.46981,0.00073404,0.00073404,0.00073404
14,139.243,0.92854,1.37264,1.55375,0.84254,0.87024,0.92142,0.84425,0.48146,0.9445,0.7189,0.000725793,0.000725793,0.000725793
15,148.948,0.92518,1.34346,1.52989,0.84175,0.84493,0.91171,0.79321,0.58074,0.9767,0.85537,0.000717546,0.000717546,0.000717546
16,158.651,0.90679,1.27758,1.50502,0.84972,0.83365,0.92564,0.71131,0.84633,1.05823,1.13706,0.000709299,0.000709299,0.000709299
17,168.283,0.93589,1.31481,1.53314,0.86278,0.84231,0.93054,0.7134,0.69888,1.07917,0.88781,0.000701053,0.000701053,0.000701053
18,177.817,0.90484,1.25894,1.52278,0.88846,0.89396,0.95127,0.88316,0.42253,0.7296,0.67076,0.000692806,0.000692806,0.000692806
19,187.117,0.89417,1.19489,1.50501,0.93325,0.9138,0.96309,0.8649,0.50029,0.69328,0.71504,0.000684559,0.000684559,0.000684559
20,196.51,0.90517,1.16767,1.50528,0.91013,0.87082,0.95928,0.94393,0.28549,0.70148,0.4747,0.000676313,0.000676313,0.000676313
21,205.987,0.87362,1.18353,1.49382,0.86093,0.89743,0.94901,0.84944,0.46723,0.97535,0.66306,0.000668066,0.000668066,0.000668066
22,215.722,0.86236,1.11592,1.46919,0.86522,0.89824,0.95047,0.82881,0.5551,0.79682,0.84061,0.000659819,0.000659819,0.000659819
23,225.442,0.8882,1.12483,1.48399,0.84791,0.85347,0.89919,0.77032,0.60821,1.00921,0.93396,0.000651573,0.000651573,0.000651573
24,234.858,0.85889,1.0971,1.46486,0.94639,0.91518,0.97144,0.86984,0.47036,0.59197,0.70865,0.000643326,0.000643326,0.000643326
25,244.304,0.78895,1.0676,1.4211,0.9283,0.8694,0.96137,0.89295,0.37416,0.69302,0.56921,0.000635079,0.000635079,0.000635079
26,253.709,0.83948,1.09207,1.44926,0.87033,0.83082,0.94614,0.82046,0.58004,0.84994,0.81158,0.000626832,0.000626832,0.000626832
27,262.892,0.84011,1.07722,1.46271,0.96845,0.90634,0.97946,0.93288,0.37849,0.51242,0.60101,0.000618586,0.000618586,0.000618586
28,272.042,0.80828,1.04032,1.42371,0.93113,0.90609,0.97521,0.87611,0.49074,0.63646,0.72021,0.000610339,0.000610339,0.000610339
