epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4956,1.76695,3.72625,2.28849,0.00343,1,0.19645,0.10671,0.83329,3.20714,1.73197,0.0002695,0.0002695,0.0002695
2,19.972,1.20176,3.00902,1.82208,0.90432,0.1475,0.50534,0.36387,0.81676,2.52756,1.29689,0.00054175,0.00054175,0.00054175
3,29.3288,1.19382,2.44518,1.81227,0.38006,0.63454,0.50729,0.30671,1.13434,4.12601,1.49997,0.000808502,0.000808502,0.000808502
4,38.6835,1.14207,2.2192,1.74515,0.59282,0.53189,0.69069,0.49428,0.87879,2.19324,1.23689,0.00080826,0.00080826,0.00080826
5,48.2207,1.11011,2.06281,1.70661,0.55888,0.76219,0.71264,0.41021,1.29208,2.50968,1.72436,0.000800013,0.000800013,0.000800013
6,57.7411,1.07835,1.90214,1.6675,0.63186,0.62559,0.70769,0.55213,0.77003,1.66624,1.11314,0.000791767,0.000791767,0.000791767
7,67.3288,1.04459,1.80551,1.62986,0.59439,0.7848,0.67745,0.54112,0.75761,1.77691,1.09839,0.00078352,0.00078352,0.00078352
8,76.9202,1.05292,1.77156,1.66502,0.83951,0.69054,0.85387,0.6698,0.6888,1.40851,1.2409,0.000775273,0.000775273,0.000775273
9,86.3431,1.01247,1.66745,1.61875,0.78908,0.78062,0.81234,0.50016,1.2426,1.41525,1.65909,0.000767026,0.000767026,0.000767026
10,95.6773,1.03644,1.62971,1.62342,0.77111,0.79037,0.85991,0.67058,0.76201,1.28302,1.13209,0.00075878,0.00075878,0.00075878
11,105.046,0.97278,1.58782,1.59114,0.82388,0.7314,0.85983,0.7703,0.46258,1.25135,0.80245,0.000750533,0.000750533,0.000750533
12,114.627,0.98882,1.54769,1.594,0.70906,0.81611,0.84747,0.68541,0.84409,1.30112,1.19301,0.000742286,0.000742286,0.000742286
13,123.934,0.95902,1.48578,1.56021,0.8865,0.83922,0.90694,0.77228,0.64115,1.12778,0.97006,0.00073404,0.00073404,0.00073404
14,133.198,0.95477,1.45023,1.58047,0.82432,0.83486,0.92868,0.81983,0.52917,1.05776,0.93304,0.000725793,0.000725793,0.000725793
15,142.525,0.95627,1.42858,1.55834,0.90951,0.86195,0.94082,0.83118,0.57329,0.88357,0.90439,0.000717546,0.000717546,0.000717546
16,151.802,0.93272,1.32333,1.5252,0.89695,0.89116,0.93232,0.80182,0.55153,0.91812,0.88672,0.000709299,0.000709299,0.000709299
17,160.981,0.94157,1.37029,1.54204,0.90314,0.81866,0.91335,0.79304,0.55247,0.97612,0.80465,0.000701053,0.000701053,0.000701053
18,170.482,0.92984,1.36447,1.54727,0.92578,0.81206,0.94463,0.83929,0.49947,0.84912,0.75125,0.000692806,0.000692806,0.000692806
19,180.021,0.91811,1.28044,1.52959,0.83906,0.85816,0.92776,0.77262,0.66116,0.93211,0.95171,0.000684559,0.000684559,0.000684559
20,189.578,0.90584,1.26027,1.51291,0.90851,0.89425,0.95505,0.88871,0.45745,0.74265,0.71326,0.000676313,0.000676313,0.000676313
21,199.117,0.90939,1.2725,1.52309,0.80306,0.85466,0.88665,0.76644,0.54245,1.12436,0.8325,0.000668066,0.000668066,0.000668066
22,208.676,0.88217,1.21894,1.49374,0.91747,0.89479,0.95534,0.70909,0.88342,0.99156,1.29052,0.000659819,0.000659819,0.000659819
23,218.291,0.90654,1.18201,1.51097,0.88106,0.89049,0.93509,0.72906,0.82289,0.9201,1.20694,0.000651573,0.000651573,0.000651573
24,227.852,0.89723,1.18168,1.49619,0.90536,0.95404,0.97239,0.83311,0.60802,0.68887,0.93516,0.000643326,0.000643326,0.000643326
25,237.515,0.84199,1.14077,1.45953,0.9248,0.84999,0.94293,0.82253,0.60125,0.76819,0.90288,0.000635079,0.000635079,0.000635079
26,247.216,0.88274,1.17989,1.4829,0.88052,0.90392,0.93745,0.77863,0.69315,0.92509,1.06553,0.000626832,0.000626832,0.000626832
