epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,299.648,0.70929,0.85335,1.35486,0.91293,0.93153,0.96947,0.92492,0.36492,0.53506,0.53774,0.000494885,0.000494885,0.000494885
43,306.578,0.71347,0.80104,1.36007,0.91767,0.87108,0.96799,0.93435,0.31449,0.53524,0.52152,0.000486639,0.000486639,0.000486639
44,313.521,0.63416,0.75815,1.29472,0.94807,0.93376,0.97063,0.91737,0.37323,0.45478,0.60248,0.000478392,0.000478392,0.000478392
45,320.339,0.65402,0.74796,1.30417,0.97918,0.95385,0.98337,0.91458,0.37436,0.46727,0.58198,0.000470145,0.000470145,0.000470145
46,327.151,0.67104,0.76922,1.31448,0.95468,0.9226,0.97537,0.89038,0.46637,0.53351,0.63241,0.000461898,0.000461898,0.000461898
47,333.979,0.66072,0.77537,1.30823,0.96288,0.83567,0.96997,0.96186,0.26794,0.47462,0.3908,0.000453652,0.000453652,0.000453652
48,340.9,0.6553,0.75619,1.29418,0.935,0.89209,0.96592,0.88786,0.40121,0.58108,0.59142,0.000445405,0.000445405,0.000445405
49,347.718,0.66391,0.78773,1.31613,0.86785,0.86243,0.96003,0.89791,0.33168,0.62992,0.50338,0.000437158,0.000437158,0.000437158
50,354.527,0.6353,0.74919,1.29285,0.9245,0.93398,0.97658,0.9698,0.23072,0.44301,0.36063,0.000428912,0.000428912,0.000428912
51,361.26,0.65234,0.72536,1.31072,0.89515,0.90708,0.96853,0.93358,0.31697,0.59019,0.45686,0.000420665,0.000420665,0.000420665
52,368.16,0.64228,0.71503,1.28621,0.97049,0.91675,0.98047,0.96541,0.30297,0.43543,0.45671,0.000412418,0.000412418,0.000412418
53,374.943,0.63086,0.70369,1.28224,0.94796,0.91362,0.98,0.94716,0.33359,0.45513,0.51646,0.000404172,0.000404172,0.000404172
54,381.814,0.61637,0.69577,1.26259,0.94998,0.89209,0.97024,0.91001,0.3646,0.51052,0.56096,0.000395925,0.000395925,0.000395925
55,388.615,0.6158,0.6851,1.27708,0.93898,0.93076,0.97091,0.93117,0.35221,0.46461,0.55835,0.000387678,0.000387678,0.000387678
56,395.454,0.62789,0.68982,1.271,0.94299,0.94149,0.97664,0.89704,0.2925,0.5739,0.47828,0.000379431,0.000379431,0.000379431
57,402.328,0.60213,0.64656,1.25224,0.95728,0.95139,0.97429,0.94582,0.31374,0.43723,0.4571,0.000371185,0.000371185,0.000371185
58,409.203,0.60217,0.64713,1.26455,0.95779,0.93696,0.97664,0.94418,0.24094,0.40617,0.38207,0.000362938,0.000362938,0.000362938
59,416.007,0.60241,0.65494,1.25863,0.94009,0.91799,0.96705,0.94263,0.27866,0.50467,0.43496,0.000354691,0.000354691,0.000354691
60,422.978,0.58913,0.67412,1.24477,0.95306,0.93441,0.97153,0.94217,0.34152,0.4546,0.52852,0.000346445,0.000346445,0.000346445
61,429.875,0.60087,0.65601,1.2769,0.96359,0.93113,0.98374,0.96974,0.2704,0.40653,0.47501,0.000338198,0.000338198,0.000338198
62,436.742,0.58242,0.64962,1.24051,0.95742,0.94795,0.98489,0.91233,0.33815,0.42552,0.54228,0.000329951,0.000329951,0.000329951
63,443.622,0.59092,0.64325,1.25355,0.981,0.96387,0.98215,0.94099,0.37529,0.422,0.58105,0.000321705,0.000321705,0.000321705
64,450.922,0.5775,0.68071,1.24234,0.96393,0.9537,0.98372,0.95552,0.32465,0.38797,0.4988,0.000313458,0.000313458,0.000313458
65,458.007,0.54887,0.62163,1.22666,0.97268,0.9318,0.98339,0.97517,0.23953,0.38223,0.37108,0.000305211,0.000305211,0.000305211
66,464.793,0.54497,0.62394,1.2061,0.95115,0.95456,0.98309,0.94421,0.35332,0.42307,0.53201,0.000296964,0.000296964,0.000296964
67,471.599,0.5349,0.61033,1.20531,0.96812,0.9632,0.98936,0.96524,0.29581,0.3646,0.45693,0.000288718,0.000288718,0.000288718
68,478.429,0.57164,0.6258,1.23243,0.96809,0.96392,0.98548,0.97006,0.28878,0.35934,0.43276,0.000280471,0.000280471,0.000280471
69,485.212,0.55139,0.63846,1.21159,0.95196,0.95846,0.98625,0.96495,0.32017,0.39784,0.46771,0.000272224,0.000272224,0.000272224
70,492.044,0.50357,0.54238,1.17741,0.96714,0.94351,0.96875,0.94194,0.31671,0.4294,0.49287,0.000263978,0.000263978,0.000263978
71,498.869,0.55724,0.61786,1.22371,0.94405,0.94504,0.96389,0.9095,0.38614,0.52225,0.57867,0.000255731,0.000255731,0.000255731
72,505.761,0.52043,0.57366,1.17984,0.96081,0.94275,0.97558,0.94667,0.30953,0.45554,0.46796,0.000247484,0.000247484,0.000247484
73,512.531,0.53464,0.61,1.20969,0.95897,0.93531,0.98035,0.93898,0.36369,0.44902,0.55589,0.000239238,0.000239238,0.000239238
74,519.313,0.54138,0.60568,1.21066,0.94502,0.93637,0.97531,0.96367,0.30194,0.44825,0.44564,0.000230991,0.000230991,0.000230991
75,526.123,0.53165,0.57982,1.20115,0.96973,0.94598,0.97171,0.96377,0.25604,0.40717,0.42873,0.000222744,0.000222744,0.000222744
76,532.932,0.51054,0.58221,1.18886,0.94371,0.92873,0.96623,0.94886,0.27162,0.47184,0.44299,0.000214497,0.000214497,0.000214497
77,539.792,0.52783,0.57404,1.20755,0.96283,0.94628,0.97613,0.95712,0.27362,0.4472,0.40213,0.000206251,0.000206251,0.000206251
78,546.585,0.51597,0.57727,1.1968,0.96947,0.93675,0.97878,0.9684,0.25504,0.37569,0.39144,0.000198004,0.000198004,0.000198004
79,553.32,0.52837,0.55714,1.20576,0.95625,0.93842,0.97976,0.97285,0.27904,0.38912,0.42149,0.000189757,0.000189757,0.000189757
80,560.138,0.51074,0.57231,1.18978,0.95962,0.94739,0.98311,0.97286,0.3009,0.3336,0.4662,0.000181511,0.000181511,0.000181511
81,566.914,0.50186,0.53403,1.17386,0.95302,0.95816,0.98167,0.96502,0.32202,0.36595,0.463,0.000173264,0.000173264,0.000173264
