epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.31744,1.80466,3.77542,2.34429,0.00372,0.9375,0.16485,0.09103,0.74238,3.20963,1.35498,0.0002695,0.0002695,0.0002695
2,14.3841,1.19299,3.12554,1.81745,0.95401,0.0875,0.23466,0.1079,1.50689,2.93702,2.0921,0.00054175,0.00054175,0.00054175
3,19.6502,1.19089,2.51251,1.79373,0.34752,0.67291,0.50153,0.39222,0.67018,2.26564,0.9991,0.000808502,0.000808502,0.000808502
4,24.3466,1.1434,2.13715,1.74664,0.6036,0.65846,0.72009,0.55891,0.73242,2.0476,1.146,0.00080826,0.00080826,0.00080826
5,29.0888,1.15201,2.02859,1.76276,0.58492,0.67729,0.72904,0.53304,0.75906,2.04845,1.10601,0.000800013,0.000800013,0.000800013
6,33.7668,1.08724,1.88582,1.68417,0.71823,0.7621,0.80715,0.66369,0.64896,1.28394,0.9872,0.000791767,0.000791767,0.000791767
7,38.4271,1.09599,1.82938,1.69422,0.71967,0.74961,0.81691,0.58537,0.96487,1.39907,1.4355,0.00078352,0.00078352,0.00078352
8,43.0933,1.04707,1.67,1.65506,0.90202,0.75464,0.85981,0.66093,0.77205,1.19474,1.10501,0.000775273,0.000775273,0.000775273
9,47.7631,1.0263,1.59143,1.61652,0.81715,0.87207,0.9108,0.69054,0.7549,1.1886,1.12222,0.000767026,0.000767026,0.000767026
10,52.478,1.01957,1.58384,1.63289,0.74535,0.78754,0.8347,0.60193,0.81874,1.2702,1.18511,0.00075878,0.00075878,0.00075878
11,57.1241,1.00569,1.51235,1.60099,0.79074,0.78147,0.82836,0.67825,0.64514,1.32257,0.98208,0.000750533,0.000750533,0.000750533
12,62.0329,1.00218,1.47729,1.6054,0.86159,0.89661,0.94147,0.85325,0.43686,0.97697,0.71994,0.000742286,0.000742286,0.000742286
13,66.7563,0.96328,1.39784,1.58614,0.89197,0.85232,0.95117,0.87831,0.43913,0.88431,0.71763,0.00073404,0.00073404,0.00073404
14,71.4106,0.96846,1.41624,1.57414,0.7774,0.85791,0.90818,0.81491,0.47909,0.9554,0.76827,0.000725793,0.000725793,0.000725793
15,76.1318,0.9624,1.37111,1.55711,0.91572,0.84808,0.9452,0.85535,0.45358,0.86016,0.7717,0.000717546,0.000717546,0.000717546
16,80.7681,0.94601,1.34699,1.55401,0.86435,0.83762,0.94393,0.71545,0.74586,1.16123,1.16106,0.000709299,0.000709299,0.000709299
17,85.4202,0.93163,1.31986,1.54726,0.8404,0.89465,0.92262,0.75985,0.59275,0.94029,0.85809,0.000701053,0.000701053,0.000701053
18,90.0778,0.94327,1.32918,1.5416,0.83661,0.89263,0.9374,0.80485,0.5633,0.96103,0.85623,0.000692806,0.000692806,0.000692806
19,94.6962,0.89648,1.26295,1.50829,0.89255,0.88267,0.9481,0.84933,0.47458,0.69861,0.7383,0.000684559,0.000684559,0.000684559
20,99.4523,0.93026,1.24295,1.54438,0.90293,0.88546,0.95499,0.76115,0.74024,0.80911,1.03382,0.000676313,0.000676313,0.000676313
21,104.136,0.87722,1.23686,1.48714,0.91227,0.88891,0.96549,0.88055,0.45567,0.71429,0.70518,0.000668066,0.000668066,0.000668066
22,108.796,0.88067,1.1592,1.50521,0.95753,0.89163,0.9772,0.8363,0.5507,0.70511,0.77811,0.000659819,0.000659819,0.000659819
23,113.427,0.85561,1.15266,1.47419,0.92789,0.8997,0.95759,0.88383,0.43779,0.6486,0.66799,0.000651573,0.000651573,0.000651573
24,118.087,0.84699,1.12955,1.46225,0.92208,0.81226,0.94421,0.85725,0.48572,0.86526,0.86008,0.000643326,0.000643326,0.000643326
25,122.72,0.85316,1.08318,1.45889,0.90363,0.92059,0.95188,0.85388,0.47054,0.72248,0.67175,0.000635079,0.000635079,0.000635079
26,127.42,0.82949,1.06065,1.44859,0.92777,0.91497,0.95573,0.84179,0.49375,0.7203,0.7555,0.000626832,0.000626832,0.000626832
